,State,Year,Drug/Alcohol Induced,Drug/Alcohol Induced Cause,Deaths,Crude Rate
2664,Michigan,2011,Drug-induced causes,All other drug-induced causes,316,3.2
2665,Michigan,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",99,1.0
2666,Michigan,2011,Alcohol-induced causes,All other alcohol-induced causes,801,8.1
2668,Michigan,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),943,9.5
2669,Michigan,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),166,1.7
2670,Michigan,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),198,2.0
2671,Michigan,2012,Drug-induced causes,All other drug-induced causes,315,3.2
2672,Michigan,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",69,0.7
2673,Michigan,2012,Alcohol-induced causes,All other alcohol-induced causes,814,8.2
2675,Michigan,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1196,12.1
2676,Michigan,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),165,1.7
2677,Michigan,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),190,1.9
2678,Michigan,2013,Drug-induced causes,All other drug-induced causes,259,2.6
2679,Michigan,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",66,0.7
2680,Michigan,2013,Alcohol-induced causes,All other alcohol-induced causes,818,8.3
2682,Michigan,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1345,13.6
2683,Michigan,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),180,1.8
2684,Michigan,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),235,2.4
2685,Michigan,2014,Drug-induced causes,All other drug-induced causes,286,2.9
2686,Michigan,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",73,0.7
2687,Michigan,2014,Alcohol-induced causes,All other alcohol-induced causes,826,8.3
2689,Michigan,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1556,15.7
2690,Michigan,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),178,1.8
2691,Michigan,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),242,2.4
2692,Michigan,2015,Drug-induced causes,All other drug-induced causes,336,3.4
2693,Michigan,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",84,0.8
2694,Michigan,2015,Alcohol-induced causes,All other alcohol-induced causes,901,9.1
2696,Michigan,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),1919,19.3
2697,Michigan,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),165,1.7
2698,Michigan,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),263,2.6
2699,Michigan,2016,Drug-induced causes,All other drug-induced causes,354,3.6
2700,Michigan,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",79,0.8
2701,Michigan,2016,Alcohol-induced causes,All other alcohol-induced causes,949,9.6
2703,Michigan,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),2187,22.0
2704,Michigan,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),191,1.9
2705,Michigan,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),313,3.1
2706,Michigan,2017,Drug-induced causes,All other drug-induced causes,340,3.4
2707,Michigan,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",65,0.7
2708,Michigan,2017,Alcohol-induced causes,All other alcohol-induced causes,984,9.9
2710,Minnesota,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),76,1.6
2711,Minnesota,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),45,0.9
2713,Minnesota,1999,Drug-induced causes,All other drug-induced causes,33,0.7
2715,Minnesota,1999,Alcohol-induced causes,All other alcohol-induced causes,286,5.9
2717,Minnesota,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),83,1.7
2718,Minnesota,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),36,0.7
2720,Minnesota,2000,Drug-induced causes,All other drug-induced causes,31,0.6
2721,Minnesota,2000,Alcohol-induced causes,All other alcohol-induced causes,314,6.4
2723,Minnesota,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),103,2.1
2724,Minnesota,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),67,1.3
2726,Minnesota,2001,Drug-induced causes,All other drug-induced causes,41,0.8
2727,Minnesota,2001,Alcohol-induced causes,All other alcohol-induced causes,315,6.3
2729,Minnesota,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),136,2.7
2730,Minnesota,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),55,1.1
2732,Minnesota,2002,Drug-induced causes,All other drug-induced causes,40,0.8
2734,Minnesota,2002,Alcohol-induced causes,All other alcohol-induced causes,314,6.3
2736,Minnesota,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),160,3.2
2737,Minnesota,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),63,1.2
2738,Minnesota,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,0.5
2739,Minnesota,2003,Drug-induced causes,All other drug-induced causes,50,1.0
2740,Minnesota,2003,Alcohol-induced causes,All other alcohol-induced causes,297,5.9
2742,Minnesota,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),172,3.4
2743,Minnesota,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),58,1.1
2744,Minnesota,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.4
2745,Minnesota,2004,Drug-induced causes,All other drug-induced causes,52,1.0
2746,Minnesota,2004,Alcohol-induced causes,All other alcohol-induced causes,352,6.9
2748,Minnesota,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),187,3.7
2749,Minnesota,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),69,1.3
2750,Minnesota,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),26,0.5
2751,Minnesota,2005,Drug-induced causes,All other drug-induced causes,56,1.1
2752,Minnesota,2005,Alcohol-induced causes,All other alcohol-induced causes,336,6.6
2754,Minnesota,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),200,3.9
2755,Minnesota,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),77,1.5
2756,Minnesota,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),34,0.7
2757,Minnesota,2006,Drug-induced causes,All other drug-induced causes,67,1.3
2759,Minnesota,2006,Alcohol-induced causes,All other alcohol-induced causes,353,6.8
2761,Minnesota,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),240,4.6
2762,Minnesota,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),59,1.1
2763,Minnesota,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),42,0.8
2765,Minnesota,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",31,0.6
2766,Minnesota,2007,Alcohol-induced causes,All other alcohol-induced causes,302,5.8
2768,Minnesota,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),246,4.7
2769,Minnesota,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),80,1.5
2770,Minnesota,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),58,1.1
2772,Minnesota,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",74,1.4
2773,Minnesota,2008,Alcohol-induced causes,All other alcohol-induced causes,334,6.4
2775,Minnesota,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),291,5.5
2776,Minnesota,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),76,1.4
2777,Minnesota,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),50,0.9
2778,Minnesota,2009,Drug-induced causes,All other drug-induced causes,22,0.4
2779,Minnesota,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",74,1.4
2780,Minnesota,2009,Alcohol-induced causes,All other alcohol-induced causes,366,6.9
2782,Minnesota,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),275,5.2
2783,Minnesota,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),80,1.5
2784,Minnesota,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),42,0.8
2785,Minnesota,2010,Drug-induced causes,All other drug-induced causes,30,0.6
2786,Minnesota,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",66,1.2
2787,Minnesota,2010,Alcohol-induced causes,All other alcohol-induced causes,363,6.8
2789,Minnesota,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),386,7.2
2790,Minnesota,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),95,1.8
2791,Minnesota,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),30,0.6
2792,Minnesota,2011,Drug-induced causes,All other drug-induced causes,46,0.9
2793,Minnesota,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",85,1.6
2794,Minnesota,2011,Alcohol-induced causes,All other alcohol-induced causes,364,6.8
2796,Minnesota,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),373,6.9
2797,Minnesota,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),80,1.5
2798,Minnesota,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,0.5
2799,Minnesota,2012,Drug-induced causes,All other drug-induced causes,57,1.1
2800,Minnesota,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",71,1.3
2801,Minnesota,2012,Alcohol-induced causes,All other alcohol-induced causes,435,8.1
2803,Minnesota,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),406,7.5
2804,Minnesota,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),93,1.7
2805,Minnesota,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,0.4
2806,Minnesota,2013,Drug-induced causes,All other drug-induced causes,56,1.0
2807,Minnesota,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",57,1.1
2808,Minnesota,2013,Alcohol-induced causes,All other alcohol-induced causes,470,8.7
2810,Minnesota,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),407,7.5
2811,Minnesota,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),88,1.6
2812,Minnesota,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),20,0.4
2813,Minnesota,2014,Drug-induced causes,All other drug-induced causes,69,1.3
2814,Minnesota,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",59,1.1
2815,Minnesota,2014,Alcohol-induced causes,All other alcohol-induced causes,499,9.1
2817,Minnesota,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),460,8.4
2818,Minnesota,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),95,1.7
2819,Minnesota,2015,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),26,0.5
2820,Minnesota,2015,Drug-induced causes,All other drug-induced causes,72,1.3
2821,Minnesota,2015,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",69,1.3
2822,Minnesota,2015,Alcohol-induced causes,All other alcohol-induced causes,530,9.7
2824,Minnesota,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),564,10.2
2825,Minnesota,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),80,1.4
2826,Minnesota,2016,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),28,0.5
2827,Minnesota,2016,Drug-induced causes,All other drug-induced causes,78,1.4
2828,Minnesota,2016,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",59,1.1
2829,Minnesota,2016,Alcohol-induced causes,All other alcohol-induced causes,610,11.1
2831,Minnesota,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),621,11.1
2832,Minnesota,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),83,1.5
2833,Minnesota,2017,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,0.5
2834,Minnesota,2017,Drug-induced causes,All other drug-induced causes,92,1.6
2835,Minnesota,2017,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",72,1.3
2836,Minnesota,2017,Alcohol-induced causes,All other alcohol-induced causes,569,10.2
2838,Mississippi,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),60,2.1
2839,Mississippi,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),20,0.7
2841,Mississippi,1999,Alcohol-induced causes,All other alcohol-induced causes,154,5.4
2843,Mississippi,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),76,2.7
2844,Mississippi,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,0.9
2846,Mississippi,2000,Alcohol-induced causes,All other alcohol-induced causes,168,5.9
2848,Mississippi,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),112,3.9
2849,Mississippi,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),30,1.1
2850,Mississippi,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),26,0.9
2852,Mississippi,2001,Alcohol-induced causes,All other alcohol-induced causes,164,5.7
2854,Mississippi,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),127,4.4
2855,Mississippi,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),31,1.1
2856,Mississippi,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),25,0.9
2858,Mississippi,2002,Alcohol-induced causes,All other alcohol-induced causes,157,5.5
2860,Mississippi,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),167,5.8
2861,Mississippi,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),23,0.8
2864,Mississippi,2003,Alcohol-induced causes,All other alcohol-induced causes,131,4.6
2866,Mississippi,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),173,6.0
2867,Mississippi,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),26,0.9
2868,Mississippi,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),23,0.8
2869,Mississippi,2004,Drug-induced causes,All other drug-induced causes,21,0.7
2871,Mississippi,2004,Alcohol-induced causes,All other alcohol-induced causes,182,6.3
2873,Mississippi,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),187,6.4
2874,Mississippi,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),26,0.9
2875,Mississippi,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),33,1.1
2877,Mississippi,2005,Alcohol-induced causes,All other alcohol-induced causes,155,5.3
2879,Mississippi,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),261,9.0
2880,Mississippi,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),32,1.1
2881,Mississippi,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),45,1.5
2882,Mississippi,2006,Drug-induced causes,All other drug-induced causes,29,1.0
2883,Mississippi,2006,Alcohol-induced causes,All other alcohol-induced causes,151,5.2
2885,Mississippi,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),255,8.7
2886,Mississippi,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),30,1.0
2887,Mississippi,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,1.0
2888,Mississippi,2007,Drug-induced causes,All other drug-induced causes,20,0.7
2890,Mississippi,2007,Alcohol-induced causes,All other alcohol-induced causes,144,4.9
2892,Mississippi,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),240,8.1
2893,Mississippi,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),28,0.9
2894,Mississippi,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),34,1.2
2896,Mississippi,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",23,0.8
2897,Mississippi,2008,Alcohol-induced causes,All other alcohol-induced causes,149,5.1
2899,Mississippi,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),262,8.9
2900,Mississippi,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),27,0.9
2901,Mississippi,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),33,1.1
2902,Mississippi,2009,Drug-induced causes,All other drug-induced causes,22,0.7
2903,Mississippi,2009,Alcohol-induced causes,All other alcohol-induced causes,153,5.2
2905,Mississippi,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),260,8.8
2906,Mississippi,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),43,1.4
2907,Mississippi,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),30,1.0
2910,Mississippi,2010,Alcohol-induced causes,All other alcohol-induced causes,154,5.2
2912,Mississippi,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),254,8.5
2913,Mississippi,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),31,1.0
2917,Mississippi,2011,Alcohol-induced causes,All other alcohol-induced causes,146,4.9
2919,Mississippi,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),267,8.9
2920,Mississippi,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),24,0.8
2924,Mississippi,2012,Alcohol-induced causes,All other alcohol-induced causes,153,5.1
2926,Mississippi,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),272,9.1
2927,Mississippi,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),26,0.9
2931,Mississippi,2013,Alcohol-induced causes,All other alcohol-induced causes,160,5.3
2933,Mississippi,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),299,10.0
2934,Mississippi,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),25,0.8
2936,Mississippi,2014,Drug-induced causes,All other drug-induced causes,25,0.8
2937,Mississippi,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",20,0.7
2938,Mississippi,2014,Alcohol-induced causes,All other alcohol-induced causes,167,5.6
2940,Mississippi,2015,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),302,10.1
2941,Mississippi,2015,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),33,1.1
2945,Mississippi,2015,Alcohol-induced causes,All other alcohol-induced causes,165,5.5
2947,Mississippi,2016,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),311,10.4
2948,Mississippi,2016,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),23,0.8
2950,Mississippi,2016,Drug-induced causes,All other drug-induced causes,22,0.7
2952,Mississippi,2016,Alcohol-induced causes,All other alcohol-induced causes,166,5.6
2954,Mississippi,2017,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),306,10.3
2955,Mississippi,2017,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),29,1.0
2957,Mississippi,2017,Drug-induced causes,All other drug-induced causes,33,1.1
2959,Mississippi,2017,Alcohol-induced causes,All other alcohol-induced causes,203,6.8
2961,Missouri,1999,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),170,3.1
2962,Missouri,1999,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),79,1.4
2963,Missouri,1999,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),27,0.5
2965,Missouri,1999,Alcohol-induced causes,All other alcohol-induced causes,393,7.1
2967,Missouri,2000,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),203,3.6
2968,Missouri,2000,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),78,1.4
2969,Missouri,2000,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),22,0.4
2970,Missouri,2000,Drug-induced causes,All other drug-induced causes,24,0.4
2971,Missouri,2000,Alcohol-induced causes,All other alcohol-induced causes,323,5.8
2973,Missouri,2001,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),216,3.8
2974,Missouri,2001,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),92,1.6
2975,Missouri,2001,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),41,0.7
2976,Missouri,2001,Drug-induced causes,All other drug-induced causes,30,0.5
2977,Missouri,2001,Alcohol-induced causes,All other alcohol-induced causes,364,6.5
2979,Missouri,2002,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),314,5.5
2980,Missouri,2002,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),68,1.2
2981,Missouri,2002,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),34,0.6
2982,Missouri,2002,Drug-induced causes,All other drug-induced causes,27,0.5
2983,Missouri,2002,Alcohol-induced causes,All other alcohol-induced causes,319,5.6
2985,Missouri,2003,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),382,6.7
2986,Missouri,2003,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),88,1.5
2987,Missouri,2003,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),51,0.9
2988,Missouri,2003,Drug-induced causes,All other drug-induced causes,28,0.5
2989,Missouri,2003,Alcohol-induced causes,All other alcohol-induced causes,337,5.9
2991,Missouri,2004,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),422,7.3
2992,Missouri,2004,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),94,1.6
2993,Missouri,2004,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),29,0.5
2994,Missouri,2004,Drug-induced causes,All other drug-induced causes,26,0.5
2995,Missouri,2004,Alcohol-induced causes,All other alcohol-induced causes,378,6.6
2997,Missouri,2005,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),469,8.1
2998,Missouri,2005,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),101,1.7
2999,Missouri,2005,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),36,0.6
3000,Missouri,2005,Drug-induced causes,All other drug-induced causes,32,0.6
3001,Missouri,2005,Alcohol-induced causes,All other alcohol-induced causes,335,5.8
3003,Missouri,2006,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),585,10.0
3004,Missouri,2006,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),117,2.0
3005,Missouri,2006,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),41,0.7
3006,Missouri,2006,Drug-induced causes,All other drug-induced causes,22,0.4
3007,Missouri,2006,Alcohol-induced causes,All other alcohol-induced causes,379,6.5
3009,Missouri,2007,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),561,9.5
3010,Missouri,2007,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),106,1.8
3011,Missouri,2007,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),46,0.8
3013,Missouri,2007,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",37,0.6
3014,Missouri,2007,Alcohol-induced causes,All other alcohol-induced causes,287,4.9
3016,Missouri,2008,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),620,10.5
3017,Missouri,2008,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),99,1.7
3018,Missouri,2008,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),44,0.7
3020,Missouri,2008,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",50,0.8
3021,Missouri,2008,Alcohol-induced causes,All other alcohol-induced causes,347,5.9
3023,Missouri,2009,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),700,11.7
3024,Missouri,2009,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),120,2.0
3025,Missouri,2009,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),38,0.6
3027,Missouri,2009,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",40,0.7
3028,Missouri,2009,Alcohol-induced causes,All other alcohol-induced causes,336,5.6
3030,Missouri,2010,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),822,13.7
3031,Missouri,2010,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),112,1.9
3032,Missouri,2010,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),59,1.0
3033,Missouri,2010,Drug-induced causes,All other drug-induced causes,26,0.4
3034,Missouri,2010,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",38,0.6
3035,Missouri,2010,Alcohol-induced causes,All other alcohol-induced causes,361,6.0
3037,Missouri,2011,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),783,13.0
3038,Missouri,2011,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),118,2.0
3040,Missouri,2011,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),52,0.9
3041,Missouri,2011,Drug-induced causes,All other drug-induced causes,27,0.4
3042,Missouri,2011,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",30,0.5
3043,Missouri,2011,Alcohol-induced causes,All other alcohol-induced causes,337,5.6
3045,Missouri,2012,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),761,12.6
3046,Missouri,2012,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),121,2.0
3048,Missouri,2012,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),49,0.8
3050,Missouri,2012,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",47,0.8
3051,Missouri,2012,Alcohol-induced causes,All other alcohol-induced causes,404,6.7
3053,Missouri,2013,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),841,13.9
3054,Missouri,2013,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),118,2.0
3055,Missouri,2013,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),57,0.9
3057,Missouri,2013,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",34,0.6
3058,Missouri,2013,Alcohol-induced causes,All other alcohol-induced causes,416,6.9
3060,Missouri,2014,Drug-induced causes,Drug poisonings (overdose) Unintentional (X40-X44),887,14.6
3061,Missouri,2014,Drug-induced causes,Drug poisonings (overdose) Suicide (X60-X64),107,1.8
3063,Missouri,2014,Drug-induced causes,Drug poisonings (overdose) Undetermined (Y10-Y14),62,1.0
3064,Missouri,2014,Drug-induced causes,All other drug-induced causes,40,0.7
3065,Missouri,2014,Alcohol-induced causes,"Alcohol poisonings (overdose) (X45, X65, Y15)",51,0.8
